skin_type,oiliness_level,dryness_level,sensitivity_level,acne_severity,dark_spots_level,redness_level,age,label
sensitive,3,8,8,3,2,4,28,Dry & Sensitive
balanced,2,3,6,3,10,5,47,Pigmentation-Prone
oily,6,5,3,0,1,3,42,Balanced
dry,3,6,4,2,10,3,45,Pigmentation-Prone
acne,9,3,2,8,0,5,31,Oily & Acne
dry,4,5,5,3,8,5,40,Pigmentation-Prone
balanced,5,6,3,1,9,4,33,Pigmentation-Prone
balanced,5,3,4,1,7,5,40,Pigmentation-Prone
dry,4,5,3,2,0,1,48,Balanced
dry,3,10,10,2,4,5,33,Dry & Sensitive
oily,7,3,0,10,3,4,21,Oily & Acne
dry,0,8,9,3,4,3,18,Dry & Sensitive
oily,9,1,1,6,4,5,31,Oily & Acne
oily,6,6,6,0,1,1,24,Balanced
dry,1,10,7,3,0,6,24,Dry & Sensitive
dry,2,8,9,4,1,7,47,Dry & Sensitive
oily,9,2,3,10,1,4,27,Acne-Prone
sensitive,0,8,7,1,1,4,35,Dry & Sensitive
sensitive,4,4,5,1,3,1,21,Balanced
oily,10,0,0,8,3,3,34,Oily & Acne
oily,7,2,0,7,0,3,23,Oily & Acne
oily,10,1,2,9,1,6,46,Acne-Prone
dry,4,6,6,1,9,4,41,Pigmentation-Prone
acne,7,2,4,10,2,7,19,Acne-Prone
oily,9,2,2,10,4,5,40,Oily & Acne
dry,2,3,4,2,8,5,47,Pigmentation-Prone
balanced,2,6,3,1,8,5,29,Pigmentation-Prone
oily,8,1,1,8,0,4,30,Acne-Prone
balanced,5,3,4,2,8,5,43,Pigmentation-Prone
acne,9,1,1,8,0,5,26,Acne-Prone
dry,1,10,10,1,5,7,42,Dry & Sensitive
acne,9,0,1,6,2,5,40,Oily & Acne
acne,10,0,2,8,3,3,45,Acne-Prone
dry,3,5,4,1,4,4,38,Balanced
acne,9,2,4,10,0,6,16,Acne-Prone
dry,2,7,8,1,4,3,22,Dry & Sensitive
oily,9,1,3,7,1,4,20,Acne-Prone
dry,4,6,3,2,3,3,40,Balanced
oily,7,2,4,10,2,7,35,Acne-Prone
acne,10,2,4,10,1,7,41,Acne-Prone
dry,3,3,5,1,9,2,27,Pigmentation-Prone
sensitive,5,5,5,3,2,1,28,Balanced
oily,9,0,3,10,0,7,35,Acne-Prone
dry,1,9,8,3,1,5,16,Dry & Sensitive
acne,7,3,2,7,0,3,46,Acne-Prone
acne,8,0,3,8,3,4,30,Acne-Prone
balanced,5,3,3,1,1,4,39,Balanced
acne,9,1,0,7,2,5,28,Oily & Acne
sensitive,3,10,8,0,5,3,31,Dry & Sensitive
oily,8,1,1,7,1,3,27,Acne-Prone
oily,8,1,3,8,3,4,27,Acne-Prone
oily,8,2,0,10,0,6,46,Oily & Acne
sensitive,4,5,5,0,3,1,44,Balanced
dry,0,9,10,2,4,6,23,Dry & Sensitive
acne,9,0,2,6,4,3,33,Oily & Acne
dry,5,4,4,2,3,0,24,Balanced
oily,8,1,0,10,0,3,36,Oily & Acne
oily,7,0,1,7,1,3,48,Oily & Acne
balanced,4,4,3,2,7,2,24,Pigmentation-Prone
dry,3,8,10,2,0,5,43,Dry & Sensitive
sensitive,3,7,7,0,3,4,34,Dry & Sensitive
oily,8,1,2,10,2,4,44,Acne-Prone
acne,8,2,2,9,4,5,25,Oily & Acne
balanced,5,5,5,0,7,4,19,Pigmentation-Prone
dry,0,7,7,2,5,6,38,Dry & Sensitive
balanced,3,3,4,3,7,4,47,Pigmentation-Prone
balanced,4,4,3,0,1,4,49,Balanced
balanced,5,4,4,0,9,3,46,Pigmentation-Prone
sensitive,6,5,5,2,1,1,32,Balanced
oily,7,1,2,7,4,3,48,Oily & Acne
acne,7,1,1,10,0,6,44,Acne-Prone
oily,7,1,0,9,0,3,47,Acne-Prone
dry,2,7,10,1,3,4,44,Dry & Sensitive
dry,2,4,3,1,8,2,27,Pigmentation-Prone
sensitive,2,9,10,4,0,4,20,Dry & Sensitive
oily,7,1,4,9,3,5,42,Acne-Prone
balanced,2,3,6,3,7,4,38,Pigmentation-Prone
dry,3,3,4,2,8,3,49,Pigmentation-Prone
dry,2,6,5,1,8,2,31,Pigmentation-Prone
sensitive,4,5,6,2,1,1,33,Balanced
oily,7,1,1,8,0,5,26,Acne-Prone
dry,6,4,3,3,2,1,35,Balanced
sensitive,0,7,7,1,1,4,16,Dry & Sensitive
oily,7,0,4,7,1,7,24,Acne-Prone
oily,8,3,4,9,0,5,19,Oily & Acne
dry,2,6,4,0,9,4,36,Pigmentation-Prone
sensitive,0,9,10,4,3,7,30,Dry & Sensitive
balanced,4,3,6,3,9,4,23,Pigmentation-Prone
oily,10,1,4,8,2,3,33,Acne-Prone
sensitive,0,8,7,4,2,6,34,Dry & Sensitive
oily,6,3,4,0,1,4,41,Balanced
dry,3,7,10,4,3,3,40,Dry & Sensitive
oily,8,0,4,9,3,4,23,Acne-Prone
balanced,4,3,6,2,9,4,40,Pigmentation-Prone
dry,3,4,3,1,0,1,27,Balanced
dry,3,7,7,3,3,5,34,Dry & Sensitive
oily,7,2,0,10,1,5,35,Acne-Prone
acne,9,3,0,8,2,6,40,Acne-Prone
acne,7,2,4,9,3,5,49,Acne-Prone
balanced,2,4,4,2,10,4,48,Pigmentation-Prone
oily,9,3,0,7,4,3,22,Oily & Acne
balanced,3,6,6,1,3,4,39,Balanced
dry,6,5,5,0,4,3,34,Balanced
dry,0,7,10,3,3,3,43,Dry & Sensitive
sensitive,0,8,7,1,5,7,24,Dry & Sensitive
acne,7,1,4,7,2,4,36,Oily & Acne
sensitive,6,4,6,1,3,4,44,Balanced
sensitive,1,9,10,3,4,5,18,Dry & Sensitive
sensitive,2,8,7,3,0,6,26,Dry & Sensitive
acne,9,0,0,7,0,5,48,Oily & Acne
acne,9,3,2,8,1,5,50,Oily & Acne
oily,8,1,0,9,1,5,50,Acne-Prone
dry,6,3,5,1,2,2,16,Balanced
dry,3,3,5,3,8,5,24,Pigmentation-Prone
balanced,2,6,3,1,10,3,22,Pigmentation-Prone
acne,9,0,3,9,4,5,43,Oily & Acne
oily,9,2,3,6,2,5,22,Oily & Acne
oily,10,2,2,8,4,5,32,Oily & Acne
dry,2,4,3,3,7,5,19,Pigmentation-Prone
dry,0,7,7,0,3,4,42,Dry & Sensitive
dry,5,6,3,0,7,3,35,Pigmentation-Prone
oily,6,5,5,2,4,2,36,Balanced
dry,0,8,9,1,3,6,18,Dry & Sensitive
balanced,5,3,4,1,0,0,40,Balanced
sensitive,1,7,8,1,5,4,42,Dry & Sensitive
balanced,3,4,6,0,8,3,20,Pigmentation-Prone
oily,7,2,1,8,1,3,19,Acne-Prone
acne,10,3,2,10,2,5,35,Oily & Acne
dry,2,9,7,4,4,5,41,Dry & Sensitive
acne,10,1,4,6,4,3,41,Oily & Acne
sensitive,2,7,8,1,0,7,35,Dry & Sensitive
acne,10,2,2,6,1,5,43,Oily & Acne
sensitive,4,6,6,0,2,1,39,Balanced
oily,9,2,1,9,0,6,36,Acne-Prone
oily,5,6,6,1,1,0,46,Balanced
oily,5,3,3,2,4,4,44,Balanced
dry,4,5,4,1,7,5,24,Pigmentation-Prone
acne,9,2,3,8,3,5,24,Oily & Acne
dry,4,6,4,2,4,2,31,Balanced
dry,5,5,3,3,2,0,40,Balanced
oily,10,3,1,10,4,5,45,Acne-Prone
dry,0,9,9,1,1,5,39,Dry & Sensitive
balanced,2,5,4,3,9,5,32,Pigmentation-Prone
acne,10,1,4,10,3,4,43,Oily & Acne
acne,8,0,3,9,4,4,37,Oily & Acne
acne,9,3,1,9,3,6,21,Acne-Prone
acne,7,3,3,8,2,4,39,Oily & Acne
oily,8,3,0,9,1,4,18,Acne-Prone
oily,8,0,3,7,1,4,48,Oily & Acne
oily,7,3,2,7,0,6,35,Oily & Acne
sensitive,2,10,7,3,3,4,28,Dry & Sensitive
acne,8,1,3,9,1,3,47,Oily & Acne
oily,8,2,4,7,4,5,16,Oily & Acne
oily,9,2,2,7,4,5,48,Acne-Prone
sensitive,4,6,3,1,2,0,50,Balanced
sensitive,3,10,10,3,0,7,29,Dry & Sensitive
dry,3,7,9,4,1,5,24,Dry & Sensitive
acne,8,1,2,10,1,4,31,Acne-Prone
acne,9,1,2,6,3,3,31,Oily & Acne
oily,7,2,3,10,4,7,40,Acne-Prone
dry,2,10,7,0,2,3,38,Dry & Sensitive
dry,4,4,5,2,1,2,49,Balanced
oily,10,2,0,6,3,4,36,Oily & Acne
balanced,3,3,3,3,9,3,44,Pigmentation-Prone
sensitive,0,9,10,3,2,5,28,Dry & Sensitive
acne,10,2,0,9,3,6,32,Oily & Acne
balanced,3,6,3,1,3,1,22,Balanced
dry,2,6,5,3,9,4,38,Pigmentation-Prone
acne,8,0,1,10,0,5,32,Oily & Acne
sensitive,0,8,8,4,0,6,33,Dry & Sensitive
balanced,6,3,6,1,0,0,33,Balanced
sensitive,4,3,3,3,2,1,30,Balanced
balanced,5,4,6,2,8,3,42,Pigmentation-Prone
oily,7,0,1,8,4,5,24,Oily & Acne
balanced,5,3,4,0,0,3,29,Balanced
acne,10,3,3,7,1,5,20,Oily & Acne
sensitive,1,7,7,4,2,7,50,Dry & Sensitive
sensitive,6,6,5,0,2,2,21,Balanced
dry,1,8,9,1,3,6,44,Dry & Sensitive
acne,9,3,0,10,2,4,43,Oily & Acne
sensitive,2,7,7,3,0,3,35,Dry & Sensitive
dry,2,6,5,2,10,3,43,Pigmentation-Prone
dry,6,5,4,2,1,4,16,Balanced
oily,9,0,3,7,1,6,43,Acne-Prone
acne,10,0,4,10,0,4,31,Oily & Acne
oily,9,0,3,10,1,4,29,Acne-Prone
acne,10,2,0,10,0,3,48,Oily & Acne
acne,9,0,4,8,0,3,20,Acne-Prone
dry,3,5,3,3,10,5,47,Pigmentation-Prone
oily,10,0,0,9,2,6,31,Oily & Acne
dry,5,4,4,0,4,3,21,Balanced
sensitive,4,6,4,3,1,2,17,Balanced
dry,5,5,5,2,8,5,44,Pigmentation-Prone
oily,7,2,1,7,4,7,16,Acne-Prone
oily,10,2,1,10,2,3,34,Oily & Acne
acne,8,0,0,9,1,6,34,Oily & Acne
dry,2,4,4,3,7,3,42,Pigmentation-Prone
dry,2,7,8,0,4,4,28,Dry & Sensitive
balanced,4,6,3,0,7,3,47,Pigmentation-Prone
oily,9,2,0,10,3,5,18,Oily & Acne
sensitive,0,8,10,0,4,4,47,Dry & Sensitive
sensitive,5,5,5,2,0,3,35,Balanced
balanced,3,6,6,1,7,4,48,Pigmentation-Prone
dry,1,7,7,3,0,3,29,Dry & Sensitive
acne,8,0,0,9,1,6,46,Oily & Acne
oily,9,1,4,10,4,4,34,Acne-Prone
dry,5,5,6,3,9,5,32,Pigmentation-Prone
oily,5,5,3,0,1,1,18,Balanced
sensitive,1,7,8,2,4,4,18,Dry & Sensitive
oily,10,1,1,8,3,6,31,Oily & Acne
oily,10,0,0,8,4,3,43,Acne-Prone
balanced,6,3,3,0,1,0,35,Balanced
acne,7,3,3,8,2,4,50,Acne-Prone
dry,0,8,10,2,0,5,44,Dry & Sensitive
balanced,6,5,4,2,4,4,23,Balanced
acne,9,3,4,8,4,5,20,Acne-Prone
oily,4,3,5,3,3,2,38,Balanced
oily,6,3,6,1,0,4,34,Balanced
oily,10,1,1,7,4,5,29,Oily & Acne
balanced,2,4,3,0,7,4,41,Pigmentation-Prone
oily,4,6,4,0,3,1,44,Balanced
oily,10,0,2,9,1,3,40,Oily & Acne
sensitive,3,3,6,0,3,2,27,Balanced
acne,7,1,3,7,4,4,30,Acne-Prone
dry,3,4,5,3,3,2,23,Balanced
acne,9,2,4,7,3,3,38,Oily & Acne
oily,8,0,4,8,0,6,49,Oily & Acne
dry,0,7,10,0,3,3,42,Dry & Sensitive
balanced,2,4,4,1,8,2,43,Pigmentation-Prone
oily,8,0,4,6,1,4,46,Oily & Acne
acne,7,1,3,7,0,4,19,Acne-Prone
sensitive,4,3,4,0,2,2,27,Balanced
oily,8,1,2,10,4,3,16,Acne-Prone
balanced,3,6,6,1,2,0,18,Balanced
balanced,4,3,4,0,2,3,29,Balanced
oily,10,1,3,8,0,6,27,Acne-Prone
acne,9,0,2,8,1,4,30,Oily & Acne
dry,3,8,10,1,4,6,46,Dry & Sensitive
oily,7,2,1,10,3,3,32,Oily & Acne
acne,7,0,1,9,3,3,32,Oily & Acne
oily,10,0,1,7,3,4,46,Oily & Acne
dry,3,5,6,2,9,3,38,Pigmentation-Prone
dry,0,9,10,0,5,7,49,Dry & Sensitive
oily,10,3,1,6,2,3,19,Oily & Acne
acne,7,1,2,10,1,4,37,Acne-Prone
oily,10,0,4,10,1,4,19,Oily & Acne
oily,10,3,2,9,0,6,42,Oily & Acne
oily,8,3,4,8,2,4,27,Oily & Acne
dry,3,4,5,1,10,3,17,Pigmentation-Prone
acne,7,2,0,10,0,5,44,Acne-Prone
oily,9,3,1,9,2,5,38,Acne-Prone
oily,7,0,3,10,3,6,36,Oily & Acne
dry,1,8,8,0,5,3,32,Dry & Sensitive
oily,10,3,3,9,0,4,16,Acne-Prone
acne,7,1,2,10,2,4,39,Acne-Prone
acne,8,0,1,8,1,5,48,Oily & Acne
oily,8,1,1,7,0,4,46,Oily & Acne
oily,10,3,3,6,3,4,18,Oily & Acne
oily,9,1,0,6,1,6,31,Oily & Acne
oily,7,0,4,8,3,4,34,Oily & Acne
acne,9,2,4,7,0,4,42,Acne-Prone
oily,10,2,3,7,2,4,35,Acne-Prone
sensitive,2,10,10,0,5,5,45,Dry & Sensitive
balanced,3,4,5,3,7,5,21,Pigmentation-Prone
oily,10,0,3,10,0,4,26,Acne-Prone
balanced,2,6,4,3,9,4,31,Pigmentation-Prone
dry,1,9,8,4,3,3,33,Dry & Sensitive
oily,7,0,2,7,1,5,37,Oily & Acne
sensitive,1,9,7,3,2,7,18,Dry & Sensitive
balanced,2,3,4,1,7,5,30,Pigmentation-Prone
dry,3,9,8,3,4,3,24,Dry & Sensitive
balanced,3,5,5,1,9,4,43,Pigmentation-Prone
dry,0,8,7,0,1,6,32,Dry & Sensitive
acne,7,3,3,9,1,6,22,Acne-Prone
acne,8,3,3,8,4,3,29,Oily & Acne
dry,4,4,3,3,7,5,49,Pigmentation-Prone
oily,6,6,3,1,1,3,24,Balanced
dry,1,9,8,0,5,4,17,Dry & Sensitive
dry,2,6,6,3,9,5,45,Pigmentation-Prone
oily,9,3,3,6,1,3,45,Oily & Acne
acne,9,2,4,9,4,6,19,Acne-Prone
oily,10,2,0,9,3,7,29,Acne-Prone
oily,9,0,2,8,1,7,42,Acne-Prone
dry,2,8,10,4,2,6,45,Dry & Sensitive
balanced,6,6,3,1,3,2,35,Balanced
dry,3,3,6,0,8,2,33,Pigmentation-Prone
oily,8,3,3,10,4,4,45,Acne-Prone
oily,8,3,1,8,2,6,39,Acne-Prone
balanced,2,6,6,2,10,3,27,Pigmentation-Prone
oily,8,2,4,8,4,7,41,Acne-Prone
oily,8,0,1,9,4,3,41,Oily & Acne
oily,7,0,3,7,3,6,45,Oily & Acne
sensitive,2,8,9,2,1,6,17,Dry & Sensitive
oily,8,1,1,9,2,4,32,Acne-Prone
acne,7,0,4,9,3,3,28,Acne-Prone
sensitive,1,7,10,4,5,4,17,Dry & Sensitive
oily,10,0,1,10,4,7,45,Acne-Prone
acne,9,0,1,8,1,5,42,Acne-Prone
oily,6,4,6,0,1,0,27,Balanced
acne,7,2,4,8,0,7,18,Acne-Prone
balanced,5,6,3,0,10,2,38,Pigmentation-Prone
balanced,3,3,6,1,8,5,38,Pigmentation-Prone
sensitive,2,7,10,1,0,3,41,Dry & Sensitive
sensitive,2,9,10,4,5,5,45,Dry & Sensitive
sensitive,1,10,9,1,3,3,16,Dry & Sensitive
oily,10,0,1,8,1,3,41,Acne-Prone
sensitive,5,3,5,2,1,2,35,Balanced
sensitive,6,4,3,3,4,1,44,Balanced
dry,3,7,9,1,4,6,41,Dry & Sensitive
sensitive,5,4,6,0,1,1,22,Balanced
dry,1,10,10,3,4,6,45,Dry & Sensitive
oily,3,3,4,0,1,4,23,Balanced
balanced,3,6,6,2,8,2,38,Pigmentation-Prone
dry,6,6,5,0,1,3,16,Balanced
dry,4,5,4,3,8,5,36,Pigmentation-Prone
dry,3,5,3,0,10,2,19,Pigmentation-Prone
balanced,2,5,5,1,10,5,49,Pigmentation-Prone
dry,0,10,10,1,5,7,50,Dry & Sensitive
sensitive,3,10,7,4,4,4,20,Dry & Sensitive
acne,9,2,3,10,2,3,23,Acne-Prone
sensitive,3,7,8,4,3,4,16,Dry & Sensitive
oily,10,3,0,7,3,4,37,Oily & Acne
dry,2,6,4,3,9,4,20,Pigmentation-Prone
sensitive,5,3,5,1,0,0,39,Balanced
balanced,5,4,6,1,4,2,49,Balanced
dry,2,9,7,2,4,3,29,Dry & Sensitive
sensitive,3,8,8,4,4,5,26,Dry & Sensitive
dry,3,6,3,2,10,5,27,Pigmentation-Prone
dry,2,5,3,0,8,2,39,Pigmentation-Prone
sensitive,6,6,6,3,1,1,29,Balanced
oily,7,2,0,9,4,5,46,Acne-Prone
balanced,6,3,5,0,4,4,20,Balanced
acne,8,1,4,9,0,6,48,Acne-Prone
sensitive,2,7,9,4,0,4,34,Dry & Sensitive
oily,8,0,1,7,0,6,32,Acne-Prone
dry,4,6,4,3,8,2,36,Pigmentation-Prone
oily,8,2,1,8,3,7,50,Acne-Prone
balanced,6,6,3,0,0,2,40,Balanced
sensitive,2,7,8,1,3,7,41,Dry & Sensitive
oily,10,0,0,10,1,4,32,Oily & Acne
dry,2,5,5,3,7,5,50,Pigmentation-Prone
acne,8,3,2,8,2,3,41,Oily & Acne
oily,8,0,1,10,4,6,39,Acne-Prone
sensitive,5,4,5,0,2,1,46,Balanced
dry,2,7,7,4,4,7,33,Dry & Sensitive
balanced,3,4,4,2,4,1,43,Balanced
dry,3,4,3,1,2,0,41,Balanced
oily,7,3,2,8,3,4,38,Acne-Prone
balanced,2,4,5,2,8,4,44,Pigmentation-Prone
acne,7,3,2,10,2,4,40,Acne-Prone
sensitive,3,8,10,2,3,6,36,Dry & Sensitive
dry,2,5,5,0,7,5,45,Pigmentation-Prone
acne,10,2,0,8,3,5,28,Oily & Acne
dry,1,9,8,3,2,7,18,Dry & Sensitive
dry,1,9,8,4,0,7,50,Dry & Sensitive
acne,8,3,2,7,0,4,38,Oily & Acne
sensitive,3,7,7,3,1,4,41,Dry & Sensitive
dry,3,6,6,3,1,0,21,Balanced
oily,4,4,6,1,1,4,18,Balanced
oily,7,2,2,7,2,6,33,Acne-Prone
balanced,2,4,3,0,9,2,44,Pigmentation-Prone
acne,8,1,2,6,3,4,47,Oily & Acne
oily,9,3,4,6,1,4,27,Oily & Acne
balanced,5,4,6,0,3,3,18,Balanced
oily,9,1,2,6,4,5,19,Oily & Acne
acne,8,2,4,9,1,4,48,Acne-Prone
dry,2,3,4,3,7,4,18,Pigmentation-Prone
oily,8,0,3,7,3,5,38,Oily & Acne
oily,7,3,4,7,3,3,41,Acne-Prone
sensitive,4,6,3,1,4,0,25,Balanced
sensitive,5,4,4,1,4,3,30,Balanced
balanced,2,3,6,3,7,4,34,Pigmentation-Prone
acne,8,3,1,9,4,7,42,Acne-Prone
dry,3,5,4,0,7,5,34,Pigmentation-Prone
oily,9,0,3,7,1,5,22,Oily & Acne
balanced,6,3,3,2,2,0,29,Balanced
acne,7,2,1,8,2,6,25,Acne-Prone
oily,6,6,3,0,4,0,30,Balanced
oily,10,3,3,10,2,3,21,Acne-Prone
sensitive,0,8,10,4,1,3,43,Dry & Sensitive
acne,10,2,1,9,1,5,38,Acne-Prone
acne,7,2,2,9,0,6,42,Oily & Acne
dry,5,3,6,0,7,2,46,Pigmentation-Prone
oily,9,1,2,7,1,6,29,Oily & Acne
oily,10,2,4,9,1,6,34,Acne-Prone
dry,2,8,7,0,4,5,48,Dry & Sensitive
oily,3,5,4,0,4,3,25,Balanced
dry,1,8,9,1,0,4,32,Dry & Sensitive
acne,10,1,4,10,1,7,39,Acne-Prone
dry,4,6,4,1,7,4,49,Pigmentation-Prone
dry,0,8,8,4,2,3,41,Dry & Sensitive
dry,2,4,3,2,9,2,41,Pigmentation-Prone
acne,7,1,3,9,3,4,18,Acne-Prone
acne,8,3,3,7,2,7,16,Acne-Prone
balanced,3,3,6,3,0,3,48,Balanced
dry,3,4,5,1,2,0,31,Balanced
acne,10,0,2,7,4,5,18,Oily & Acne
balanced,4,6,4,0,10,4,28,Pigmentation-Prone
dry,2,7,7,1,5,3,41,Dry & Sensitive
dry,3,4,5,2,0,4,49,Balanced
sensitive,2,7,7,1,0,3,17,Dry & Sensitive
acne,7,3,4,9,2,5,32,Oily & Acne
dry,5,5,5,1,7,2,26,Pigmentation-Prone
oily,8,0,4,10,0,5,22,Acne-Prone
acne,8,0,1,7,3,6,49,Oily & Acne
dry,2,6,6,2,9,4,32,Pigmentation-Prone
acne,8,3,2,7,0,4,45,Acne-Prone
acne,9,0,1,9,2,3,16,Oily & Acne
balanced,3,5,5,1,2,2,18,Balanced
oily,8,2,4,9,0,7,16,Acne-Prone
dry,2,10,9,2,2,6,29,Dry & Sensitive
oily,9,0,2,10,0,3,46,Oily & Acne
dry,5,3,6,1,4,4,41,Balanced
acne,8,2,0,7,4,3,48,Oily & Acne
dry,3,4,6,2,8,3,29,Pigmentation-Prone
oily,8,1,3,7,3,4,40,Oily & Acne
dry,5,3,3,3,7,3,50,Pigmentation-Prone
dry,4,5,3,2,0,4,23,Balanced
dry,2,8,8,1,4,4,41,Dry & Sensitive
sensitive,2,9,9,1,2,3,48,Dry & Sensitive
dry,0,9,10,2,3,7,25,Dry & Sensitive
acne,8,1,3,10,0,3,45,Oily & Acne
acne,9,2,1,8,3,6,28,Acne-Prone
acne,10,0,1,8,3,4,39,Oily & Acne
dry,1,9,10,0,5,7,22,Dry & Sensitive
